ID,Item Name,GL Code,Catalog,Category,Menus,Stock,Cost,Price
245522,CB Nuts Dog Peanut Butter,Food & Beverage,Food & Beverage,Food: Snacks,,1,,12
245524,SAP! Ginger Lemongrass,Food & Beverage,Food & Beverage,Beverage: Other Drinks,,0,1.9,3.99
245679,Cheese Brothers honey sriracha goud,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,14,3.97,7.99
245683,Cheese Brothers Ale Gouda,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,1,7.5,15
245690,Cheese Brother bliss campfire chees,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,5.47,10.99
245849,Poe&Co Sweet Potato Quinoa,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,12,7,14
245850,Poe&Co Coconut Chickpea Stew,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,13,7,14
245851,Poe&Co Black Garlic Ramen,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,-1,7,14
246136,Cafe POS Onigiri sampler,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,-47,4.5,12
246187,Tara Coconut Water,Food & Beverage,Food & Beverage,Beverage: Other Drinks,,28,1.71,4.99
246297,Coconut & Cocoa Nibs Umchu,Food & Beverage,Food & Beverage,Food: Snacks,,0,1.74,2.5
246298,Coconut Honey & Nuts Umchu,Food & Beverage,Food & Beverage,Food: Snacks,,1,1.74,2.5
246394,TRE-FIN Smoked Sablefish,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,-4,6,12
246466,Olipop Cherry Vanilla,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,0,1.86,3.99
246472,Cloudy lane midnight cloud,Food & Beverage,Food & Beverage,Food: Snacks,,15,2.8,5.99
246562,Pocket’s lavender vanilla,Food & Beverage,Food & Beverage,Food: Snacks,,6,1.29,2.99
246568,Sweet Lounge Fizzy Fruity Bears,Sale of Goods,Food & Beverage,Food: Snacks,,14,1.9,4
